Дата операции,Номер документа,Тип документа,Контрагент,Сумма,Валюта,НДС,Счет учета,Описание операции,Ответственный сотрудник
2026-01-21,LG-01020,Счет-фактура,IP Audit Expert,190000,KZT,22800.0,2930,Поставка расходных материалов,Айгерим С.
2026-01-22,LG-01021,Акт,TOO Vision Market,197250,KZT,23670.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-01-23,LG-01022,Счет-фактура,TOO Logistic Group,204500,KZT,24540.0,7210,Маркетинговые услуги,Марина Ж.
2026-01-24,LG-01023,Акт,TOO Prime Service,211750,KZT,25410.0,2930,Транспортные услуги,Арман О.
2026-01-25,LG-01024,Счет-фактура,TOO Delta Supplies,219000,KZT,26280.0,3310,Закупка канцелярских товаров,Дамир К.
2026-01-26,LG-01025,Акт,TOO North Office,226250,KZT,27150.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-01-27,LG-01026,Счет-фактура,TOO Metro Parts,233500,KZT,28020.0,2930,Поставка расходных материалов,Нурлан Т.
2026-01-28,LG-01027,Акт,TOO City Trade,240750,KZT,28890.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-01-29,LG-01028,Счет-фактура,IP Audit Expert,248000,KZT,29760.0,7210,Маркетинговые услуги,Арман О.
2026-01-30,LG-01029,Акт,TOO Vision Market,255250,KZT,30630.0,2930,Транспортные услуги,Дамир К.
2026-01-31,LG-01030,Счет-фактура,TOO Logistic Group,262500,KZT,31500.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-02-01,LG-01031,Акт,TOO Prime Service,269750,KZT,32370.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-02-02,LG-01032,Счет-фактура,TOO Delta Supplies,277000,KZT,33240.0,2930,Поставка расходных материалов,Марина Ж.
2026-02-03,LG-01033,Акт,TOO North Office,284250,KZT,34110.0,3310,Техническое обслуживание оборудования,Арман О.
2026-02-04,LG-01034,Счет-фактура,TOO Metro Parts,291500,KZT,34980.0,7210,Маркетинговые услуги,Дамир К.
2026-02-05,LG-01035,Акт,TOO City Trade,298750,KZT,35850.0,2930,Транспортные услуги,Айгерим С.
2026-02-06,LG-01036,Счет-фактура,IP Audit Expert,306000,KZT,36720.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-02-07,LG-01037,Акт,TOO Vision Market,45000,KZT,5400.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-02-08,LG-01038,Счет-фактура,TOO Logistic Group,52250,KZT,6270.0,2930,Поставка расходных материалов,Арман О.
2026-02-09,LG-01039,Акт,TOO Prime Service,59500,KZT,7140.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-02-10,LG-01040,Счет-фактура,TOO Delta Supplies,66750,KZT,8010.0,7210,Маркетинговые услуги,Айгерим С.
2026-02-11,LG-01041,Акт,TOO North Office,74000,KZT,8880.0,2930,Транспортные услуги,Нурлан Т.
2026-02-12,LG-01042,Счет-фактура,TOO Metro Parts,81250,KZT,9750.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-02-13,LG-01043,Акт,TOO City Trade,88500,KZT,10620.0,7210,Услуги сопровождения офиса,Арман О.
2026-02-14,LG-01044,Счет-фактура,IP Audit Expert,95750,KZT,11490.0,2930,Поставка расходных материалов,Дамир К.
2026-02-15,LG-01045,Акт,TOO Vision Market,103000,KZT,12360.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-02-16,LG-01046,Счет-фактура,TOO Logistic Group,110250,KZT,13230.0,7210,Маркетинговые услуги,Нурлан Т.
2026-02-17,LG-01047,Акт,TOO Prime Service,117500,KZT,14100.0,2930,Транспортные услуги,Марина Ж.
2026-02-18,LG-01048,Счет-фактура,TOO Delta Supplies,124750,KZT,14970.0,3310,Закупка канцелярских товаров,Арман О.
2026-02-19,LG-01049,Акт,TOO North Office,132000,KZT,15840.0,7210,Услуги сопровождения офиса,Дамир К.
2026-02-20,LG-01050,Счет-фактура,TOO Metro Parts,139250,KZT,16710.0,2930,Поставка расходных материалов,Айгерим С.
2026-02-21,LG-01051,Акт,TOO City Trade,146500,KZT,17580.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-02-22,LG-01052,Счет-фактура,IP Audit Expert,153750,KZT,18450.0,7210,Маркетинговые услуги,Марина Ж.
2026-02-23,LG-01053,Акт,TOO Vision Market,161000,KZT,19320.0,2930,Транспортные услуги,Арман О.
2026-02-24,LG-01054,Счет-фактура,TOO Logistic Group,168250,KZT,20190.0,3310,Закупка канцелярских товаров,Дамир К.
2026-02-25,LG-01055,Акт,TOO Prime Service,175500,KZT,21060.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-02-26,LG-01056,Счет-фактура,TOO Delta Supplies,182750,KZT,21930.0,2930,Поставка расходных материалов,Нурлан Т.
2026-02-27,LG-01057,Акт,TOO North Office,190000,KZT,22800.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-02-28,LG-01058,Счет-фактура,TOO Metro Parts,197250,KZT,23670.0,7210,Маркетинговые услуги,Арман О.
2026-03-01,LG-01059,Акт,TOO City Trade,204500,KZT,24540.0,2930,Транспортные услуги,Дамир К.
2026-03-02,LG-01060,Счет-фактура,IP Audit Expert,211750,KZT,25410.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-03-03,LG-01061,Акт,TOO Vision Market,219000,KZT,26280.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-03-04,LG-01062,Счет-фактура,TOO Logistic Group,226250,KZT,27150.0,2930,Поставка расходных материалов,Марина Ж.
2026-03-05,LG-01063,Акт,TOO Prime Service,233500,KZT,28020.0,3310,Техническое обслуживание оборудования,Арман О.
2026-03-06,LG-01064,Счет-фактура,TOO Delta Supplies,240750,KZT,28890.0,7210,Маркетинговые услуги,Дамир К.
2026-03-07,LG-01065,Акт,TOO North Office,248000,KZT,29760.0,2930,Транспортные услуги,Айгерим С.
2026-03-08,LG-01066,Счет-фактура,TOO Metro Parts,255250,KZT,30630.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-03-09,LG-01067,Акт,TOO City Trade,262500,KZT,31500.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-03-10,LG-01068,Счет-фактура,IP Audit Expert,269750,KZT,32370.0,2930,Поставка расходных материалов,Арман О.
2026-03-11,LG-01069,Акт,TOO Vision Market,277000,KZT,33240.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-03-12,LG-01070,Счет-фактура,TOO Logistic Group,284250,KZT,34110.0,7210,Маркетинговые услуги,Айгерим С.
2026-03-13,LG-01071,Акт,TOO Prime Service,291500,KZT,34980.0,2930,Транспортные услуги,Нурлан Т.
2026-03-14,LG-01072,Счет-фактура,TOO Delta Supplies,298750,KZT,35850.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-03-15,LG-01073,Акт,TOO North Office,306000,KZT,36720.0,7210,Услуги сопровождения офиса,Арман О.
2026-03-16,LG-01074,Счет-фактура,TOO Metro Parts,45000,KZT,5400.0,2930,Поставка расходных материалов,Дамир К.
2026-03-17,LG-01075,Акт,TOO City Trade,52250,KZT,6270.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-03-18,LG-01076,Счет-фактура,IP Audit Expert,59500,KZT,7140.0,7210,Маркетинговые услуги,Нурлан Т.
2026-03-19,LG-01077,Акт,TOO Vision Market,66750,KZT,8010.0,2930,Транспортные услуги,Марина Ж.
2026-03-20,LG-01078,Счет-фактура,TOO Logistic Group,74000,KZT,8880.0,3310,Закупка канцелярских товаров,Арман О.
2026-03-21,LG-01079,Акт,TOO Prime Service,81250,KZT,9750.0,7210,Услуги сопровождения офиса,Дамир К.
2026-03-22,LG-01080,Счет-фактура,TOO Delta Supplies,88500,KZT,10620.0,2930,Поставка расходных материалов,Айгерим С.
2026-03-23,LG-01081,Акт,TOO North Office,95750,KZT,11490.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-03-24,LG-01082,Счет-фактура,TOO Metro Parts,103000,KZT,12360.0,7210,Маркетинговые услуги,Марина Ж.
2026-03-25,LG-01083,Акт,TOO City Trade,110250,KZT,13230.0,2930,Транспортные услуги,Арман О.
2026-03-26,LG-01084,Счет-фактура,IP Audit Expert,117500,KZT,14100.0,3310,Закупка канцелярских товаров,Дамир К.
2026-03-27,LG-01085,Акт,TOO Vision Market,124750,KZT,14970.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-03-28,LG-01086,Счет-фактура,TOO Logistic Group,132000,KZT,15840.0,2930,Поставка расходных материалов,Нурлан Т.
2026-03-29,LG-01087,Акт,TOO Prime Service,139250,KZT,16710.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-03-30,LG-01088,Счет-фактура,TOO Delta Supplies,146500,KZT,17580.0,7210,Маркетинговые услуги,Арман О.
2026-03-31,LG-01089,Акт,TOO North Office,153750,KZT,18450.0,2930,Транспортные услуги,Дамир К.
2026-04-01,LG-01090,Счет-фактура,TOO Metro Parts,161000,KZT,19320.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-04-02,LG-01091,Акт,TOO City Trade,168250,KZT,20190.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-04-03,LG-01092,Счет-фактура,IP Audit Expert,175500,KZT,21060.0,2930,Поставка расходных материалов,Марина Ж.
2026-04-04,LG-01093,Акт,TOO Vision Market,182750,KZT,21930.0,3310,Техническое обслуживание оборудования,Арман О.
2026-04-05,LG-01094,Счет-фактура,TOO Logistic Group,190000,KZT,22800.0,7210,Маркетинговые услуги,Дамир К.
2026-04-06,LG-01095,Акт,TOO Prime Service,197250,KZT,23670.0,2930,Транспортные услуги,Айгерим С.
2026-04-07,LG-01096,Счет-фактура,TOO Delta Supplies,204500,KZT,24540.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-04-08,LG-01097,Акт,TOO North Office,211750,KZT,25410.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-04-09,LG-01098,Счет-фактура,TOO Metro Parts,219000,KZT,26280.0,2930,Поставка расходных материалов,Арман О.
2026-04-10,LG-01099,Акт,TOO City Trade,226250,KZT,27150.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-04-11,LG-01100,Счет-фактура,IP Audit Expert,233500,KZT,28020.0,7210,Маркетинговые услуги,Айгерим С.
2026-04-12,LG-01101,Акт,TOO Vision Market,240750,KZT,28890.0,2930,Транспортные услуги,Нурлан Т.
2026-04-13,LG-01102,Счет-фактура,TOO Logistic Group,248000,KZT,29760.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-04-14,LG-01103,Акт,TOO Prime Service,255250,KZT,30630.0,7210,Услуги сопровождения офиса,Арман О.
2026-04-15,LG-01104,Счет-фактура,TOO Delta Supplies,262500,KZT,31500.0,2930,Поставка расходных материалов,Дамир К.
2026-04-16,LG-01105,Акт,TOO North Office,269750,KZT,32370.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-04-17,LG-01106,Счет-фактура,TOO Metro Parts,277000,KZT,33240.0,7210,Маркетинговые услуги,Нурлан Т.
2026-04-18,LG-01107,Акт,TOO City Trade,284250,KZT,34110.0,2930,Транспортные услуги,Марина Ж.
2026-04-19,LG-01108,Счет-фактура,IP Audit Expert,291500,KZT,34980.0,3310,Закупка канцелярских товаров,Арман О.
2026-04-20,LG-01109,Акт,TOO Vision Market,298750,KZT,35850.0,7210,Услуги сопровождения офиса,Дамир К.
2026-04-21,LG-01110,Счет-фактура,TOO Logistic Group,306000,KZT,36720.0,2930,Поставка расходных материалов,Айгерим С.
2026-04-22,LG-01111,Акт,TOO Prime Service,45000,KZT,5400.0,3310,,Нурлан Т.
2026-04-23,LG-01112,Счет-фактура,TOO Delta Supplies,52250,KZT,6270.0,7210,Маркетинговые услуги,Марина Ж.
2026-04-24,LG-01113,Акт,TOO North Office,59500,KZT,7140.0,2930,Транспортные услуги,Арман О.
2026-04-25,LG-01114,Счет-фактура,TOO Metro Parts,66750,KZT,8010.0,3310,Закупка канцелярских товаров,Дамир К.
2026-04-26,LG-01115,Акт,TOO City Trade,74000,KZT,8880.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-04-27,LG-01116,Счет-фактура,IP Audit Expert,81250,KZT,9750.0,2930,Поставка расходных материалов,Нурлан Т.
2026-04-28,LG-01117,Акт,TOO Vision Market,88500,KZT,10620.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-04-29,LG-01118,Счет-фактура,TOO Logistic Group,95750,KZT,11490.0,7210,Маркетинговые услуги,Арман О.
2026-04-30,LG-01119,Акт,TOO Prime Service,103000,KZT,12360.0,2930,Транспортные услуги,Дамир К.
2026-05-01,LG-01120,Счет-фактура,TOO Delta Supplies,110250,KZT,13230.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-05-02,LG-01121,Акт,TOO North Office,117500,KZT,14100.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-05-03,LG-01122,Счет-фактура,TOO Metro Parts,124750,KZT,14970.0,2930,Поставка расходных материалов,Марина Ж.
2026-05-04,LG-01123,Акт,TOO City Trade,132000,KZT,15840.0,3310,Техническое обслуживание оборудования,Арман О.
2026-05-05,LG-01124,Счет-фактура,IP Audit Expert,139250,KZT,16710.0,7210,Маркетинговые услуги,Дамир К.
2026-05-06,LG-01125,Прочее,TOO Unknown Services,2750000,KZT,0,7210,Срочная корректировка вручную,Айгерим С.
2026-05-07,LG-01126,Счет-фактура,TOO Logistic Group,153750,KZT,18450.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-05-08,LG-01127,Акт,TOO Prime Service,161000,KZT,19320.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-05-09,LG-01128,Счет-фактура,TOO Delta Supplies,168250,KZT,20190.0,2930,Поставка расходных материалов,Арман О.
2026-05-10,LG-01129,Акт,TOO North Office,175500,KZT,21060.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-05-11,LG-01130,Счет-фактура,TOO Metro Parts,182750,KZT,21930.0,7210,Маркетинговые услуги,Айгерим С.
2026-05-12,LG-01131,Акт,TOO City Trade,190000,KZT,22800.0,2930,Транспортные услуги,Нурлан Т.
2026-05-13,LG-01132,Счет-фактура,IP Audit Expert,197250,KZT,23670.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-05-14,LG-01133,Акт,TOO Vision Market,204500,KZT,24540.0,7210,Услуги сопровождения офиса,Арман О.
2026-05-15,LG-01134,Счет-фактура,TOO Logistic Group,211750,KZT,25410.0,2930,Поставка расходных материалов,Дамир К.
2026-05-16,LG-01135,Акт,TOO Prime Service,219000,KZT,26280.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-05-17,LG-01136,Счет-фактура,TOO Delta Supplies,226250,KZT,27150.0,7210,Маркетинговые услуги,Нурлан Т.
2026-05-18,LG-01137,Акт,TOO North Office,233500,KZT,28020.0,2930,Транспортные услуги,Марина Ж.
2026-05-19,LG-01138,Счет-фактура,TOO Metro Parts,240750,KZT,28890.0,3310,Закупка канцелярских товаров,Арман О.
2026-05-20,LG-01139,Акт,TOO City Trade,248000,KZT,29760.0,7210,Услуги сопровождения офиса,Дамир К.
2026-05-21,LG-01140,Счет-фактура,IP Audit Expert,255250,KZT,30630.0,2930,Поставка расходных материалов,Айгерим С.
2026-05-22,LG-01141,Акт,TOO Vision Market,262500,KZT,31500.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-05-23,LG-01142,Счет-фактура,TOO Logistic Group,269750,KZT,32370.0,7210,Маркетинговые услуги,Марина Ж.
2026-05-24,LG-01143,Акт,TOO Prime Service,277000,KZT,33240.0,2930,Транспортные услуги,Арман О.
2026-05-25,LG-01144,Счет-фактура,TOO Delta Supplies,284250,KZT,34110.0,3310,Закупка канцелярских товаров,Дамир К.
2026-05-26,LG-01145,Акт,TOO North Office,291500,KZT,34980.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-05-27,LG-01146,Счет-фактура,TOO Metro Parts,298750,KZT,35850.0,2930,Поставка расходных материалов,Нурлан Т.
2026-05-28,LG-01147,Акт,TOO City Trade,306000,KZT,36720.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-05-29,LG-01148,Счет-фактура,IP Audit Expert,45000,KZT,5400.0,7210,Маркетинговые услуги,Арман О.
2026-05-30,LG-01149,Акт,TOO Vision Market,52250,KZT,6270.0,2930,Транспортные услуги,Дамир К.
2026-05-31,LG-01150,Счет-фактура,TOO Logistic Group,59500,KZT,7140.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-06-01,LG-01151,Акт,TOO Prime Service,66750,KZT,8010.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-06-02,LG-01152,Счет-фактура,TOO Delta Supplies,74000,KZT,8880.0,2930,Поставка расходных материалов,Марина Ж.
2026-06-03,LG-01153,Акт,TOO North Office,81250,KZT,9750.0,3310,Техническое обслуживание оборудования,Арман О.
2026-06-04,LG-01154,Счет-фактура,TOO Metro Parts,88500,KZT,10620.0,7210,Маркетинговые услуги,Дамир К.
2026-06-05,LG-01155,Акт,TOO City Trade,95750,KZT,11490.0,2930,Транспортные услуги,Айгерим С.
2026-06-06,LG-01156,Счет-фактура,IP Audit Expert,103000,KZT,12360.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-06-07,LG-01157,Акт,TOO Vision Market,110250,KZT,13230.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-06-08,LG-01158,Счет-фактура,TOO Logistic Group,117500,KZT,14100.0,2930,Поставка расходных материалов,Арман О.
2026-06-09,LG-01159,Акт,TOO Prime Service,124750,KZT,14970.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-06-10,LG-01160,Счет-фактура,TOO Delta Supplies,132000,KZT,15840.0,7210,Маркетинговые услуги,Айгерим С.
2026-06-11,LG-01161,Акт,TOO North Office,139250,KZT,16710.0,2930,Транспортные услуги,Нурлан Т.
2026-06-12,LG-01162,Счет-фактура,TOO Metro Parts,146500,KZT,17580.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-06-13,LG-01163,Акт,TOO City Trade,153750,KZT,18450.0,7210,Услуги сопровождения офиса,Арман О.
2026-06-14,LG-01164,Счет-фактура,IP Audit Expert,161000,KZT,19320.0,2930,Поставка расходных материалов,Дамир К.
2026-06-15,LG-01165,Акт,TOO Vision Market,168250,KZT,20190.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-06-16,LG-01166,Счет-фактура,TOO Logistic Group,175500,KZT,21060.0,7210,Маркетинговые услуги,Нурлан Т.
2026-06-17,LG-01167,Акт,TOO Prime Service,182750,KZT,21930.0,2930,Транспортные услуги,Марина Ж.
2026-06-18,LG-01168,Счет-фактура,TOO Delta Supplies,190000,KZT,22800.0,3310,Закупка канцелярских товаров,Арман О.
2026-06-19,LG-01169,Акт,TOO North Office,197250,KZT,23670.0,7210,Услуги сопровождения офиса,Дамир К.
2026-06-20,LG-01170,Счет-фактура,TOO Metro Parts,204500,KZT,24540.0,2930,Поставка расходных материалов,Айгерим С.
2026-06-21,LG-01171,Акт,TOO City Trade,211750,KZT,25410.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-06-22,LG-01172,Счет-фактура,IP Audit Expert,219000,KZT,26280.0,7210,Маркетинговые услуги,Марина Ж.
2026-06-23,LG-01172,Акт,TOO Vision Market,226250,KZT,27150.0,2930,Транспортные услуги,Арман О.
2026-06-24,LG-01174,Счет-фактура,TOO Logistic Group,233500,KZT,28020.0,3310,Закупка канцелярских товаров,Дамир К.
2026-06-25,LG-01175,Акт,TOO Prime Service,240750,KZT,28890.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-06-26,LG-01176,Счет-фактура,TOO Delta Supplies,248000,KZT,29760.0,2930,Поставка расходных материалов,Нурлан Т.
2026-06-27,LG-01177,Акт,TOO North Office,255250,KZT,30630.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-06-28,LG-01178,Счет-фактура,TOO Metro Parts,262500,KZT,31500.0,7210,Маркетинговые услуги,Арман О.
2026-06-29,LG-01179,Акт,TOO City Trade,269750,KZT,32370.0,2930,Транспортные услуги,Дамир К.
2026-01-01,LG-01180,Счет-фактура,IP Audit Expert,277000,KZT,33240.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-01-02,LG-01181,Акт,TOO Vision Market,284250,KZT,34110.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-01-03,LG-01182,Счет-фактура,TOO Logistic Group,291500,KZT,34980.0,2930,Поставка расходных материалов,Марина Ж.
2026-01-04,LG-01183,Акт,TOO Prime Service,298750,KZT,35850.0,3310,Техническое обслуживание оборудования,Арман О.
2026-01-05,LG-01184,Счет-фактура,TOO Delta Supplies,306000,KZT,36720.0,7210,Маркетинговые услуги,Дамир К.
2026-01-06,LG-01185,Акт,TOO North Office,45000,KZT,5400.0,2930,Транспортные услуги,Айгерим С.
2026-01-07,LG-01186,Счет-фактура,TOO Metro Parts,52250,KZT,6270.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-01-08,LG-01187,Акт,TOO City Trade,59500,KZT,7140.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-01-09,LG-01188,Счет-фактура,IP Audit Expert,66750,KZT,8010.0,2930,Поставка расходных материалов,Арман О.
2026-01-10,LG-01189,Акт,TOO Vision Market,74000,KZT,8880.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-01-11,LG-01190,Счет-фактура,TOO Logistic Group,81250,KZT,9750.0,7210,Маркетинговые услуги,Айгерим С.
2026-01-12,LG-01191,Акт,TOO Prime Service,88500,KZT,10620.0,2930,Транспортные услуги,Нурлан Т.
2026-01-13,LG-01192,Счет-фактура,TOO Delta Supplies,95750,KZT,11490.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-01-14,LG-01193,Акт,TOO North Office,103000,KZT,12360.0,7210,Услуги сопровождения офиса,Арман О.
2026-01-15,LG-01194,Счет-фактура,TOO Metro Parts,110250,KZT,13230.0,2930,Поставка расходных материалов,Дамир К.
2026-01-16,LG-01195,Акт,TOO City Trade,117500,KZT,14100.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-01-17,LG-01196,Счет-фактура,IP Audit Expert,124750,KZT,14970.0,7210,Маркетинговые услуги,Нурлан Т.
2026-01-18,LG-01197,Акт,TOO Vision Market,132000,KZT,15840.0,2930,Транспортные услуги,Марина Ж.
2026-01-19,LG-01198,Счет-фактура,TOO Logistic Group,139250,KZT,16710.0,3310,Закупка канцелярских товаров,Арман О.
2026-01-20,LG-01199,Акт,TOO Prime Service,146500,KZT,17580.0,7210,Услуги сопровождения офиса,Дамир К.
2026-01-21,LG-01200,Счет-фактура,TOO Delta Supplies,153750,KZT,18450.0,2930,Поставка расходных материалов,Айгерим С.
2026-01-22,LG-01201,Акт,TOO North Office,161000,KZT,19320.0,3310,Техническое обслуживание оборудования,Нурлан Т.
2026-01-23,LG-01202,Счет-фактура,TOO Metro Parts,168250,KZT,20190.0,7210,Маркетинговые услуги,Марина Ж.
2026-01-24,LG-01203,Акт,TOO City Trade,175500,KZT,21060.0,2930,Транспортные услуги,Арман О.
2026-01-25,LG-01204,Счет-фактура,IP Audit Expert,182750,KZT,21930.0,3310,Закупка канцелярских товаров,Дамир К.
2026-01-26,LG-01205,Акт,TOO Vision Market,190000,KZT,22800.0,7210,Услуги сопровождения офиса,Айгерим С.
2026-01-27,LG-01206,Счет-фактура,TOO Logistic Group,197250,KZT,23670.0,2930,Поставка расходных материалов,Нурлан Т.
2026-01-28,LG-01207,Акт,TOO Prime Service,204500,KZT,24540.0,3310,Техническое обслуживание оборудования,Марина Ж.
2026-01-29,LG-01208,Счет-фактура,TOO Delta Supplies,211750,KZT,25410.0,7210,Маркетинговые услуги,Арман О.
2026-01-30,LG-01209,Акт,TOO North Office,219000,KZT,26280.0,2930,Транспортные услуги,Дамир К.
2026-01-31,LG-01210,Счет-фактура,TOO Metro Parts,226250,KZT,27150.0,3310,Закупка канцелярских товаров,Айгерим С.
2026-02-01,LG-01211,Акт,TOO City Trade,233500,KZT,28020.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-02-02,LG-01212,Счет-фактура,IP Audit Expert,240750,KZT,28890.0,2930,Поставка расходных материалов,Марина Ж.
2026-02-03,LG-01213,Акт,TOO Vision Market,248000,KZT,29760.0,3310,Техническое обслуживание оборудования,Арман О.
2026-02-04,LG-01214,Счет-фактура,TOO Logistic Group,255250,KZT,30630.0,7210,Маркетинговые услуги,Дамир К.
2026-02-05,LG-01215,Акт,TOO Prime Service,262500,KZT,31500.0,2930,Транспортные услуги,Айгерим С.
2026-02-06,LG-01216,Счет-фактура,TOO Delta Supplies,269750,KZT,32370.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-02-07,LG-01217,Акт,TOO North Office,277000,KZT,33240.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-02-08,LG-01218,Счет-фактура,TOO Metro Parts,284250,KZT,34110.0,2930,Поставка расходных материалов,Арман О.
2026-02-09,LG-01219,Акт,TOO City Trade,291500,KZT,34980.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-02-10,LG-01220,Счет-фактура,IP Audit Expert,298750,KZT,35850.0,7210,Маркетинговые услуги,Айгерим С.
2026-02-11,LG-01221,Акт,TOO Vision Market,306000,KZT,36720.0,2930,Транспортные услуги,Нурлан Т.
